p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_6_6,of_6_7,of_6_8,of_6_9,of_7,of_7_1,of_7_2,of_7_3,of_7_4,of_7_5,of_7_6,of_7_7,of_7_8,of_7_9,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
26,404.810440526026,408.611997180356,405.225468714867,401.790391699513,398.925076391819,377.011051441698,359.344912858818,345.550458826537,334.806590566014,326.495807675581,320.034082091236,318.916671244097,317.849041647291,316.828011678738,315.850629456712,314.914166972027,314.016101335806,313.154105080668,312.326031150017,311.529898898943,310.763880540541,310.026288271222,309.315562211566,308.630259228623,307.969044661671,307.330674760056,306.714000592027,306.117951813637,305.541531792951,304.98381125016,304.443922510993,301.985286038807,299.869902491553,298.034954256881,296.432650191357,295.025782103953,293.784805410965,292.685874800418,291.709467476904,290.83941495256,290.062180811151,289.366330456482,288.742127730151,288.18122607715,287.67642009526,287.221464425127,286.810914101062,286.440004884366,286.104546277485,285.800850878506,285.52565533804,285.276065163633,285.049514157594,284.843716029537,284.656632120206
27,404.47329173768,408.499161747636,405.185904641242,401.771092674043,398.909213943517,376.997269498145,359.316320048975,345.503827424768,334.741221173306,326.414336724712,319.941548481884,318.822542712278,317.753503206475,316.731236600369,315.752778926729,314.815390130441,313.916535597503,313.05387663979,312.22525560516,311.428681944217,310.662318683287,309.924469548442,309.213566885993,308.528160452071,307.866909145265,307.228563208996,306.611968388564,306.016049455853,305.439805341567,304.882302734784,304.342670298475,301.885784267388,299.772719458454,297.940453100025,296.341060050255,294.937242066585,293.699392050913,292.6036201383,291.63037084324,290.763451289384,289.989306436147,289.296487297453,288.675246515314,288.117227287827,287.615222085719,287.162975828742,286.755041382891,286.38665199687,286.05361556428,285.7522441018,285.479274374014,285.231812562969,285.007293869926,284.803433817634,284.618195957755
28,404.144280364499,408.38729191269,405.146479678245,401.751884250227,398.893673484609,376.984155871528,359.289096375251,345.459324587079,334.678677708771,326.336204833937,319.85265221563,318.732090039056,317.661673429556,316.638196894662,315.65868765069,314.720391281021,313.820762788732,312.957452642656,312.128292935625,311.331283519886,310.564578509711,309.8264734071,309.115393004728,308.429880145506,307.768585364992,307.130259357466,306.513736390846,305.917938579713,305.341860532676,304.784565011431,304.245177109726,301.789971598203,299.679142431869,297.849466677537,296.252888390416,294.852021350157,293.61719738315,292.524483034912,291.554290832809,290.690404021607,289.919249320506,289.229363650618,288.610988690287,288.055759110819,287.556460828781,287.1068337626,286.701427192856,286.335471948969,286.004774404215,285.705646039539,285.434821564263,285.189414547507,284.966854935701,284.764862300765,284.581402404525
29,403.822984591386,408.276369045268,405.107184005565,401.732760608915,398.878432486355,376.971654962468,359.26312621027,345.416785225162,334.618747910179,326.261167720089,319.767131703699,318.645049507798,317.57328682259,316.548627449545,315.568087481922,314.628901347833,313.728513131779,312.864562816257,312.0348725549,311.237432890846,310.470389284394,309.732029244849,309.020770218635,308.335148321259,307.673807944382,307.035494224138,306.419036244306,305.823351529334,305.247430474057,304.69033201037,304.151177750706,301.697587853721,299.588916999046,297.761746793536,296.167893490598,294.769884872169,293.537992995985,292.448241773943,291.481012389043,290.620064693832,289.85180753179,289.164764013686,288.549165078872,287.996637054728,287.49995945478,287.052867324153,286.649906464462,286.286305374861,285.957868979449,285.660908289877,285.392158173203,285.148733110425,284.928064321973,284.727873266563,284.546127913119
30,403.509015956313,408.1663750943,405.068015427819,401.713716602336,398.863470763163,376.959717482223,359.238322954707,345.37606205356,334.561241925668,326.189006486246,319.684752281845,318.561184508944,317.488105146812,316.462287762684,315.48073775973,314.540678815505,313.639544463582,312.774964528867,311.944751534388,311.146886981263,310.379507918667,309.640894083463,308.929455767696,308.243722535923,307.582332792824,306.94402625645,306.32762695419,305.732047933137,305.156275476456,304.599364778155,304.060434052225,301.608399366862,299.501814676922,297.677068216043,296.085858303845,294.690621547477,293.461573850752,292.374697337759,291.410342497122,290.552246256923,289.786799907399,289.102513027203,288.489606031021,287.93969707698,287.44555941985,287.00092335415,286.600331304042,286.239009523353,285.912761559039,285.617898008894,285.351153942219,285.109644781826,284.890803042239,284.692352075593,284.512262054361
31,403.202015844149,408.057292561482,405.02897192509,401.694747656463,398.848770155432,376.948299556684,359.214593876509,345.337023160649,334.505989302459,326.119524247011,319.605302659308,318.480281969391,317.405913835814,316.378962031723,315.396421680898,314.455506089476,313.553638586334,312.68843915518,311.857710968195,311.059426741652,310.291715343072,309.552848937753,308.841230854351,308.155384272035,307.493941752086,306.855635654509,306.239291292912,305.643811121513,305.068179482201,304.511447917878,303.97273132234,301.52219550109,299.417627222746,297.595234679664,296.006587209025,294.614041156554,293.387755173478,292.303668804714,291.342107323011,290.486780243055,289.724063310613,289.042452810349,288.432158837037,287.88479154661,287.393118073228,286.950864078145,286.552568705254,286.1934560442,285.86932833346,285.57649580965,285.311693786516,285.072038656523,284.854964246911,284.658195808852,284.479705714188
32,402.901652435999,407.949104476728,404.990051629098,401.675849690251,398.834314264423,376.937361981065,359.191860724221,345.29954997654,334.452836461864,326.052543294483,319.528591925592,318.402149340576,317.326518966737,316.298455196951,315.314943262341,314.373186455084,313.470598226029,312.604789014278,311.773552909037,310.974854082952,310.206813438556,309.46769576648,308.75589760318,308.06993589364,307.408437504738,306.770129597368,306.153832778111,305.55844511343,304.982947060985,304.426386594671,303.887875362105,301.438785723087,299.336172859768,297.516062184016,295.929903284642,294.539971680558,293.316369899419,292.234997289223,291.276149677357,290.423514391182,289.663450324482,288.984440722226,288.376685555126,287.831787136898,287.342506613491,286.902565125305,286.50649862903,286.149527328347,285.827457616956,285.53659402221,285.27367394161,285.035812613448,284.820451644592,284.625311740183,284.448369616623
33,402.607618044038,407.84178670713,404.951252803325,401.657019048313,398.820088229369,376.92686959787,359.170053112696,345.263535562898,334.40164456927,325.987902704457,319.454447022963,318.326612055209,317.249744704329,316.220590372718,315.23612476365,314.293541492913,313.390244442097,312.523834786198,311.692097785018,310.89298929584,310.124622461371,309.385254881649,308.673276465961,307.987198076464,307.325641014112,306.687327354785,306.071073114072,305.475772066966,304.900400868151,304.344004002202,303.805689940696,301.357997126062,299.257280297316,297.43938584169,295.855646002523,294.468257055198,293.24726647503,292.168534183486,291.212327032446,290.362310639453,289.604827302421,288.928347469709,288.323061175565,287.780563044861,287.293608362335,286.855913855358,286.462012382636,286.107122106231,285.787048327469,285.498095222258,285.237000539638,285.000880492047,284.787178170156,284.593616048541,284.418173079046
34,402.319626774383,407.735322535841,404.912573826409,401.638244426659,398.806078538873,376.916790772056,359.149107526,345.228883165754,334.352287729906,325.92545630341,319.382710597912,318.253511365199,317.175431127872,316.14520666552,315.159804498316,314.216408884978,313.312414430198,312.445413310616,311.613182196918,310.813668847562,310.044978840021,309.305362758389,308.593204041394,307.907007608786,307.245389321479,306.607066286832,305.990847990953,305.395630109713,304.820379481058,304.264139204992,303.72601464757,301.279672322867,299.180795656258,297.365055577118,295.78366926618,294.398755260302,293.180307005448,292.104145696934,291.150509760374,290.303043413981,289.548072702616,288.874055484514,288.27117203669,287.731009478632,287.246317298341,286.810807937822,286.419011202431,286.066143407242,285.748008696467,285.460909465254,285.201588401461,284.967158163122,284.755064855072,284.563032725898,284.389042956691
35,402.037412470138,407.629719657968,404.874013178046,401.619538426549,398.792266069514,376.907096948286,359.128966471018,345.195504984476,334.304651446141,325.865070933095,319.313239165641,318.182702494387,317.103432374192,316.072157309305,315.085834963032,314.141640539577,313.23695964395,312.369375706612,311.536657037287,310.73674350121,309.967733295499,309.22787015427,308.51553119453,307.829215527113,307.167533692568,306.529197937141,305.913013313029,305.317871488756,304.742735557673,304.186645307798,303.648703055063,301.203667644654,299.106578473407,297.292934406358,295.713839733825,294.331336687345,293.115365654611,292.041709785375,291.090579565144,290.245598193204,289.493075714238,288.821457621472,288.220914608568,287.683026363323,287.200536801607,286.767154134373,286.377405277916,286.02650452324,285.710255159046,285.424959260747,285.167359994329,284.934570978824,284.724039844257,284.533492619089,284.360912743137
36,401.760726894964,407.524948165579,404.835569427129,401.600890804809,398.778652949899,376.897762274199,359.109577756865,345.16332111951,334.258631301556,325.806624960254,319.245901534499,318.114053052676,317.033615043415,316.001308064404,315.01408123132,314.069100980903,313.163744181778,312.295585757849,311.46238587478,310.662076700164,309.892749226643,309.152640496268,308.440121446013,307.753685504826,307.091938006863,306.453586439495,305.837431512832,305.242360970066,304.667334235106,304.111387850288,303.57362114572,301.129851591221,299.034500187803,297.222896959409,295.646035377956,294.26588273584,293.052327290151,291.981114794142,291.032428259842,290.189870214133,289.43973496448,288.770455845314,288.172194132976,287.636522245593,287.156177178341,286.724867282754,286.337112365704,285.988126302145,285.673711455551,285.390169665523,285.134244606582,284.903050882175,284.694037663612,284.504932758051,284.333721784969
37,401.489338123815,407.420993412433,404.797241221577,401.582293122017,398.765222244913,376.888763278735,359.0908938766,345.132258668803,334.214131825424,325.75000700254,319.18057744745,318.047441668508,316.965856824005,315.932535836632,314.944419567934,313.998665959964,313.092643395312,312.223918519389,311.390243560295,310.589543174247,309.819901316973,309.079548488939,308.366849582109,307.680292464644,307.018477372949,306.380107132997,305.763978200339,305.168972486945,304.594051771317,304.038243460994,303.500645941825,301.05810350527,298.964442834578,297.154828205193,295.580144242499,294.20228460414,292.991086302948,291.92225831642,290.975956629989,290.135763430508,289.387957540875,288.7209603352,288.124923831028,287.591413314139,287.113160364984,286.683869353947,286.298057271676,285.950936235247,285.638307733893,285.356473412819,285.102177484336,284.872535556116,284.664996260642,284.477295454085,284.307414695789
38,401.223029112846,407.317841161851,404.759027279705,401.563754926896,398.751964716154,376.880078596204,359.072871475687,345.102250948484,334.171065512395,325.695114803843,319.117156405723,317.982756804578,316.900045301965,315.865727481218,314.876736228687,313.930221251232,313.023542683858,312.154259110748,311.320115019317,310.519027732051,309.749074327591,309.008478908405,308.29560045029,307.608921376207,306.947036928485,306.308645364758,305.692538969595,305.097595851705,304.522774352782,303.967098665822,303.429664333995,300.988312398476,298.896297913042,297.088622346686,295.516063365945,294.140442240685,292.931545587348,291.86504620206,290.921073472027,290.083189563076,289.337658056318,288.672888556633,288.079023977,287.547622596233,287.071410685452,286.644088721601,286.260170953257,285.914867800019,285.603979925945,285.323808821602,285.071099264063,284.842967884787,284.63686483212,284.450527866114,284.281940631456
